video_id,title,description,published_at,channel_title
cGslfZmLzD8,Notre nouveau livre GELADAS !,"Voici un aperçu du contenu des pages de notre nouveau livre de 130 pages, quelques 100 photos, des informations scientifiques ...",2023-06-14T13:07:38Z,Patrice Quillard
W2Nw_3glqwE,Le nouveau livre de Léon Hoogendijk. Les intros Total CARPE : Short 9,"Je vous présente ici, le nouveau livre de Léon Hoogendijk. Ou pas... ↓↓ Plus d'infos en description ...",2023-11-01T17:00:23Z,Total CARPE
xfcmEc64tEk,Madeleine de Gourcuff nous présente son nouveau livre « Léonie Martin » aux éditions Artège,Découvrez le nouveau livre de Madeleine de Gourcuff « Léonie Martin - La biographie »,2023-08-25T14:07:17Z,Éditions Artège
8YsRJHHOOyI,"Émilie Nouveau, l&#39;invitée d&#39;Un livre, un lecteur","Florence Berthout reçoit Émilie Nouveau qui parlera du livre ""L'ours et l'ermite"" de John Yeoman et Quentin Blake.",2023-12-15T12:00:07Z,RADIO RCJ
TL-GlwgzhY4,"&quot;Les hommes sont absents&quot;, le nouveau livre de Nathalie Man aux éditions Lanskine.",Extraits du livre lus par l'autrice. Scènes filmées à Bordeaux à la GoPro. Un grand merci à l'équipe de tournage de la librairie ...,2023-03-14T16:47:30Z,Nathalie Man
tI8sDS7WhTU,Faites mieux ! - Précommandez mon nouveau livre,Jean-Luc Mélenchon dévoile son nouveau livre « Faites mieux ! » qui paraîtra le 28 septembre 2023 et à retrouver dès ...,2023-09-19T15:59:52Z,JEAN-LUC MÉLENCHON
XGEKFkz2g78,“L’Appel à la vigilance” : le nouveau livre d’Edwy Plenel,"Directeur de Mediapart, le journaliste Edwy Plenel est venu présenter, vendredi 24 mars, son nouveau livre intitulé “L'Appel à la ...",2023-03-25T18:10:00Z,Puissance Télévision
7BIem-HEP0k,J&#39;ai ILLUSTRÉ un nouveau LIVRE sur l&#39;orthographe,"Je viens de recevoir le nouveau livre que j'ai ilustré dernièrement : ""Je maîtrise l'orthographe"" de Sandrine Dirani. Et le résultat ...",2023-05-03T10:38:17Z,Cyril Maitre
t4eFlxOc5VM,Le nouveau livre sort traqueurs d’ames,,2023-10-17T16:25:18Z,Navas le boss
W2Nw_3glqwE,Le nouveau livre de Léon Hoogendijk. Les intros Total CARPE : Short 9,"Je vous présente ici, le nouveau livre de Léon Hoogendijk. Ou pas... ↓↓ Plus d'infos en description ...",2023-11-01T17:00:23Z,Total CARPE
1IIp5sdiklQ,Didier Raoult parle de son nouveau livre,raoult #lecture #drama #chatgpt #gpt #ia #ai #complotisme #tpmp #hanouna Source ...,2023-04-13T07:21:12Z,Drama Hub
cGslfZmLzD8,Notre nouveau livre GELADAS !,"Voici un aperçu du contenu des pages de notre nouveau livre de 130 pages, quelques 100 photos, des informations scientifiques ...",2023-06-14T13:07:38Z,Patrice Quillard
8YsRJHHOOyI,"Émilie Nouveau, l&#39;invitée d&#39;Un livre, un lecteur","Florence Berthout reçoit Émilie Nouveau qui parlera du livre ""L'ours et l'ermite"" de John Yeoman et Quentin Blake.",2023-12-15T12:00:07Z,RADIO RCJ
1jEwyWXYB7k,nouveau livre 💷 playmobil,,2023-09-01T20:38:04Z,Emilien p12
OAZc2sV5iuo,Découvrez notre nouveau livre blanc !,Dans quels cas avoir recours au RPO ? Comment ça fonctionne ? Combien ça coûte ? Découvrez les réponses à toutes ces ...,2023-06-21T14:40:15Z,Pragmatan
GZIHh1sXpII,LITTERATURE : DANIELE SEKA PRESENTE SON NOUVEAU LIVRE SENSATION 1,"Abonnez-vous à notre chaîne sur YouTube : http://goo.gl/w0jq7b Nous attendons vos commentaires, vos réactions !",2023-06-29T15:27:59Z,Business24 Africa
-KS8yUXsmdY,Un nouveau livre !,,2023-09-11T16:42:35Z,Cuisine avec tes livres! 
er0epVIiwUA,Découvrez le nouveau livre de Pierre-Joseph Rubino  « Du scoutisme à l&#39;école » aux éditions Artège,,2023-08-25T13:44:52Z,Éditions Artège
tjHOga1Cur0,Dès que j&#39;ai un nouveau livre cette situation m&#39;arrive 😂 #booktube,,2023-02-12T07:17:10Z,Troian
4dkuAH9qzJY,"Découvrez Maternités Rebelles, le nouveau livre de Judith Duportail",Rendez ce projet possible en précommandant votre exemplaire sur Ulule : https://fr.ulule.com/maternites-rebelles/,2023-05-23T09:18:33Z,Binge Audio
rx7xpzC9fOI,Découvrez le nouveau livre de François Bert « Le discernement » aux éditions Artège,Découvrez le nouveau livre de François Bert.,2023-08-25T14:11:58Z,Éditions Artège
-qZqvwsiSn4,Mon nouveau livre,"Le livre ""Des coups de fil de l'au-delà' vient de sortir. Disponible partout. 182 pages. Éditions Guy Trédaniel.",2023-12-10T12:54:19Z,Laurent Kasprowicz
sVotiYxijsM,Sorte de mon nouveau livre le 19 avril,,2023-03-26T06:28:07Z,Benoît POUZIN
mGrR3L5sGyQ,⭐ BANDE ANNONCE LIVRE 📚 Nouveau Karma nouveau Moi,BANDE ANNONCE LIVRE Nouveau Karma nouveau Moi ↓♾️↓ Issu de l'une des plus anciennes traditions spirituelles de ...,2023-02-17T08:41:43Z,Claire Thomas Karma
LUVOt7o15I0,GEMEAUX indien NOVEMBRE 2023 Un nouveau livre vierge et plein de potentiel s&#39;ouvre à vous,GEMEAUX indien - sidéral !!! Pour les personnes nées entre le 17 juin et le 16 juillet Ascendant Gémeaux indien / sidéral Vénus ...,2023-11-04T21:28:49Z,Lune bleue Guidances
E2C_VClNJ2M,"CULTURE Michel Marchal, dédicace de son nouveau livre (09/11/2023)",,2024-05-15T07:17:40Z,Comblain TV
73OxnWu7BAg,"#shorts Ukraine : la Guerre des images, nouveau livre de Michel Collon sur la propagande de guerre",Voici l'entretien avec Michel Collon en intégralité : https://youtu.be/2YWlIdpGE48 #zaporozhye #kakhovka #biden #poutine ...,2023-06-08T19:03:48Z,Café marxiste
Xlg_nhSnYZI,Cérémonie de dédicace du nouveau livre de Marie ABESSOLO,,2023-10-31T02:17:49Z,Marie ABESSOLO N
Ez06m52kKCM,Alerte Nouveau Livre : Connectés mais Seuls - Quand la technologie redéfinit la solitude.,Ce mini ouvrage est disponible dans Amazon. https://tinyurl.com/tvtyvh6s #ConnectésMaisSeuls #SantéMentale ...,2023-12-09T21:04:15Z,Voie Lactée
